plate,well,X,Y
1,1,94.51,52.5
1,2,90.61,52.5
1,3,86.71,52.5
1,4,94.51,48.6
1,5,90.61,48.6
1,6,86.71,48.6
2,1,94.55,42.75
2,2,90.65,42.75
2,3,86.75,42.75
2,4,94.55,38.85
2,5,90.65,38.85
2,6,86.75,38.85
3,1,94.58,33.03
3,2,90.68,33.03
3,3,86.78,33.03
3,4,94.58,29.13
3,5,90.68,29.13
3,6,86.78,29.13
4,1,94.6,23.29
4,2,90.7,23.29
4,3,86.8,23.29
4,4,94.6,19.39
4,5,90.7,19.39
4,6,86.8,19.39
5,1,94.63,13.56
5,2,90.73,13.56
5,3,86.83,13.56
5,4,94.63,9.66
5,5,90.73,9.66
5,6,86.83,9.66
6,1,94.66,3.83
6,2,90.76,3.83
6,3,86.86,3.83
6,4,94.66,-0.07
6,5,90.76,-0.07
6,6,86.86,-0.07
7,1,80.69,52.52
7,2,76.79,52.52
7,3,72.89,52.52
7,4,80.69,48.62
7,5,76.79,48.62
7,6,72.89,48.62
8,1,80.74,42.79
8,2,76.84,42.79
8,3,72.94,42.79
8,4,80.74,38.89
8,5,76.84,38.89
8,6,72.94,38.89
9,1,80.76,33.06
9,2,76.86,33.06
9,3,72.96,33.06
9,4,80.76,29.16
9,5,76.86,29.16
9,6,72.96,29.16
10,1,80.79,23.33
10,2,76.89,23.33
10,3,72.99,23.33
10,4,80.79,19.43
10,5,76.89,19.43
10,6,72.99,19.43
11,1,80.84,13.57
11,2,76.94,13.57
11,3,73.04,13.57
11,4,80.84,9.67
11,5,76.94,9.67
11,6,73.04,9.67
12,1,80.84,3.82
12,2,76.94,3.82
12,3,73.04,3.82
12,4,80.84,-0.08
12,5,76.94,-0.08
12,6,73.04,-0.08
13,1,64.81,52.53
13,2,60.91,52.53
13,3,57.01,52.53
13,4,64.81,48.63
13,5,60.91,48.63
13,6,57.01,48.63
14,1,64.83,42.77
14,2,60.93,42.77
14,3,57.03,42.77
14,4,64.83,38.87
14,5,60.93,38.87
14,6,57.03,38.87
15,1,64.95,33.04
15,2,61.05,33.04
15,3,57.15,33.04
15,4,64.95,29.14
15,5,61.05,29.14
15,6,57.15,29.14
