plate,well,X,Y
1,1,94.51,52.43
1,2,90.61,52.43
1,3,86.71,52.43
1,4,94.51,48.53
1,5,90.61,48.53
1,6,86.71,48.53
2,1,94.55,42.7
2,2,90.65,42.7
2,3,86.75,42.7
2,4,94.55,38.8
2,5,90.65,38.8
2,6,86.75,38.8
3,1,94.59,32.95
3,2,90.69,32.95
3,3,86.79,32.95
3,4,94.59,29.05
3,5,90.69,29.05
3,6,86.79,29.05
4,1,94.6,23.21
4,2,90.7,23.21
4,3,86.8,23.21
4,4,94.6,19.31
4,5,90.7,19.31
4,6,86.8,19.31
5,1,94.63,13.46
5,2,90.73,13.46
5,3,86.83,13.46
5,4,94.63,9.55
5,5,90.73,9.55
5,6,86.83,9.55
6,1,94.65,3.7
6,2,90.75,3.7
6,3,86.85,3.7
6,4,94.65,-0.2
6,5,90.75,-0.2
6,6,86.85,-0.2
7,1,80.71,52.37
7,2,76.81,52.37
7,3,72.91,52.37
7,4,80.71,48.47
7,5,76.81,48.47
7,6,72.91,48.47
8,1,80.75,42.64
8,2,76.85,42.64
8,3,72.95,42.64
8,4,80.75,38.74
8,5,76.85,38.74
8,6,72.95,38.74
9,1,80.77,32.88
9,2,76.87,32.88
9,3,72.97,32.88
9,4,80.77,28.98
9,5,76.87,28.98
9,6,72.97,28.98
10,1,80.8,23.14
10,2,76.9,23.14
10,3,73.0,23.14
10,4,80.8,19.24
10,5,76.9,19.24
10,6,73.0,19.24
11,1,80.83,13.37
11,2,76.93,13.37
11,3,73.03,13.37
11,4,80.83,9.47
11,5,76.93,9.47
11,6,73.03,9.47
12,1,80.84,3.6
12,2,76.94,3.6
12,3,73.04,3.6
12,4,80.84,-0.3
12,5,76.94,-0.3
12,6,73.04,-0.3
13,1,64.82,52.28
13,2,60.92,52.28
13,3,57.02,52.28
13,4,64.82,48.38
13,5,60.92,48.38
13,6,57.02,48.38
14,1,64.83,42.53
14,2,60.93,42.53
14,3,57.03,42.53
14,4,64.83,38.63
14,5,60.93,38.63
14,6,57.03,38.63
15,1,64.96,32.77
15,2,61.06,32.77
15,3,57.16,32.77
15,4,64.96,28.87
15,5,61.06,28.87
15,6,57.16,28.87
16,1,65.0,23.02
16,2,61.1,23.02
16,3,57.2,23.02
16,4,65.0,19.12
16,5,61.1,19.12
16,6,57.2,19.12
17,1,65.0,13.25
17,2,61.1,13.25
17,3,57.2,13.25
17,4,65.0,9.35
17,5,61.1,9.35
17,6,57.2,9.35
18,1,65.05,3.49
18,2,61.15,3.49
18,3,57.25,3.49
18,4,65.05,-0.41
18,5,61.15,-0.41
18,6,57.25,-0.41
19,1,51.03,52.16
19,2,47.13,52.16
19,3,43.23,52.16
19,4,51.03,48.26
19,5,47.13,48.26
19,6,43.23,48.26
20,1,51.04,42.42
20,2,47.14,42.42
20,3,43.24,42.42
20,4,51.04,38.52
20,5,47.14,38.52
20,6,43.24,38.52
21,1,51.18,32.67
21,2,47.28,32.67
21,3,43.38,32.67
21,4,51.18,28.77
21,5,47.28,28.77
21,6,43.38,28.77
22,1,51.22,22.92
22,2,47.32,22.92
22,3,43.42,22.92
22,4,51.22,19.02
22,5,47.32,19.02
22,6,43.42,19.02
23,1,51.22,13.15
23,2,47.32,13.15
23,3,43.42,13.15
23,4,51.22,9.25
23,5,47.32,9.25
23,6,43.42,9.25
24,1,51.27,3.4
24,2,47.37,3.4
24,3,43.47,3.4
24,4,51.27,-0.5
24,5,47.37,-0.5
24,6,43.47,-0.5
25,1,37.23,52.11
25,2,33.33,52.11
25,3,29.43,52.11
25,4,37.23,48.21
25,5,33.33,48.21
25,6,29.43,48.21
26,1,37.25,42.34
26,2,33.35,42.34
26,3,29.45,42.34
26,4,37.25,38.44
26,5,33.35,38.44
26,6,29.45,38.44
27,1,37.38,32.57
27,2,33.48,32.57
27,3,29.58,32.57
27,4,37.38,28.67
27,5,33.48,28.67
27,6,29.58,28.67
28,1,37.43,22.82
28,2,33.53,22.82
28,3,29.63,22.82
28,4,37.43,18.93
28,5,33.53,18.93
28,6,29.63,18.93
29,1,37.41,13.09
29,2,33.51,13.09
29,3,29.61,13.09
29,4,37.41,9.19
29,5,33.51,9.19
29,6,29.61,9.19
30,1,37.49,3.32
30,2,33.59,3.32
30,3,29.69,3.32
30,4,37.49,-0.58
30,5,33.59,-0.58
30,6,29.69,-0.58
31,1,21.41,51.98
31,2,17.51,51.98
31,3,13.61,51.98
31,4,21.41,48.08
31,5,17.51,48.08
31,6,13.61,48.08
32,1,21.45,42.23
32,2,17.55,42.23
32,3,13.65,42.23
32,4,21.45,38.34
32,5,17.55,38.34
32,6,13.65,38.34
33,1,21.5,32.48
33,2,17.59,32.48
33,3,13.7,32.48
33,4,21.5,28.58
33,5,17.59,28.58
33,6,13.7,28.58
34,1,21.52,22.74
34,2,17.62,22.74
34,3,13.72,22.74
34,4,21.52,18.84
34,5,17.62,18.84
34,6,13.72,18.84
35,1,21.56,13.0
35,2,17.66,13.0
35,3,13.76,13.0
35,4,21.56,9.1
35,5,17.66,9.1
35,6,13.76,9.1
36,1,21.59,3.25
36,2,17.69,3.25
36,3,13.79,3.25
36,4,21.59,-0.65
36,5,17.69,-0.65
36,6,13.79,-0.65
37,1,7.6,51.93
37,2,3.7,51.93
37,3,-0.2,51.93
37,4,7.6,48.03
37,5,3.7,48.03
37,6,-0.2,48.03
38,1,7.64,42.18
38,2,3.74,42.18
38,3,-0.16,42.18
38,4,7.64,38.28
38,5,3.74,38.28
38,6,-0.16,38.28
39,1,7.71,32.43
39,2,3.81,32.43
39,3,-0.09,32.43
39,4,7.71,28.53
39,5,3.81,28.53
39,6,-0.09,28.53
40,1,7.73,22.69
40,2,3.83,22.69
40,3,-0.07,22.69
40,4,7.73,18.79
40,5,3.83,18.79
40,6,-0.07,18.79
41,1,7.79,12.95
41,2,3.89,12.95
41,3,-0.01,12.95
41,4,7.79,9.05
41,5,3.89,9.05
41,6,-0.01,9.05
42,1,7.78,3.15
42,2,3.88,3.15
42,3,-0.02,3.15
42,4,7.78,-0.75
42,5,3.88,-0.75
42,6,-0.02,-0.75
