plate,well,originX,originY
1,6,86.706,48.597
2,6,86.748,38.852
3,6,86.784,29.130
4,6,86.801,19.395
5,6,86.835,9.663
6,6,86.860,-0.071
7,6,72.889,48.623
8,6,72.945,38.888
9,6,72.958,29.160
10,6,72.988,19.429
11,6,73.036,9.671
12,6,73.041,-0.076
13,6,57.011,48.634
14,6,57.032,38.870
15,6,57.152,29.139
16,6,57.192,19.410
17,6,57.199,9.650
18,6,57.248,-0.087
19,6,43.217,48.607
20,6,43.226,38.868
21,6,43.355,29.133
22,6,43.402,19.393
23,6,43.412,9.641
24,6,43.472,-0.075
25,6,29.407,48.634
26,6,29.426,38.870
27,6,29.567,29.121
28,6,29.612,19.384
29,6,29.607,9.662
30,6,29.683,-0.071
31,6,13.580,48.609
32,6,13.613,38.861
33,6,13.669,29.117
34,6,13.705,19.401
35,6,13.750,9.672
36,6,13.779,-0.044
37,6,-0.213,48.662
38,6,-0.180,38.891
39,6,-0.112,29.153
40,6,-0.080,19.444
41,6,-0.013,9.711
42,6,-0.001,-0.003
