plate,well,originX,originY
1,6,86.706,48.533
2,6,86.748,38.800
3,6,86.788,29.055
4,6,86.800,19.309
5,6,86.832,9.555
6,6,86.851,-0.199
7,6,72.913,48.467
8,6,72.954,38.740
9,6,72.972,28.985
10,6,72.995,19.243
11,6,73.028,9.467
12,6,73.037,-0.301
13,6,57.023,48.382
14,6,57.032,38.629
15,6,57.161,28.874
16,6,57.198,19.125
17,6,57.203,9.347
18,6,57.246,-0.412
19,6,43.234,48.256
20,6,43.241,38.521
21,6,43.384,28.774
22,6,43.417,19.021
23,6,43.419,9.249
24,6,43.474,-0.498
25,6,29.432,48.206
26,6,29.454,38.439
27,6,29.583,28.670
28,6,29.632,18.925
29,6,29.611,9.186
30,6,29.686,-0.579
31,6,13.607,48.075
32,6,13.650,38.335
33,6,13.695,28.579
34,6,13.721,18.841
35,6,13.762,9.102
36,6,13.791,-0.650
37,6,-0.198,48.032
38,6,-0.162,38.278
39,6,-0.088,28.526
40,6,-0.068,18.793
41,6,-0.010,9.050
42,6,-0.02,-0.75
